"","district","state","year.x","ins.units","farmers","loanee","nonloanee","area.ins","farmers.premium","state.premium","goi.premium","gross.premium","sum.insured","male.pt","female.pt","othergen.pt","sc.pt","st.pt","obc.pt","gen.pt","marginal.pt","small.pt","othertype.pt","jan.rf","jan.ptdef","feb.rf","feb.ptdef","mar.rf","mar.ptdef","apr.rf","apr.ptdef","may.rf","may.ptdef","jun.rf","jun.ptdef","jul.rf","jul.ptdef","aug.rf","aug.ptdef","sep.rf","sep.ptdef","oct.rf","oct.ptdef","nov.rf","nov.ptdef","dec.rf","dec.ptdef","area","prod","yield","Dist Code","year.y","State Code","icr2017_area","icr2017_prod","icr2017_yield","f.it"
"1","Adilabad","Telangana",2019,422,10589,2957,8936,13.17,143.99,251.78,251.78,647.55,7199.42,0.7223,0.2773,4e-04,0.0857,0.124,0.4356,0.3547,0.0362,0.9464,0.0174,"1.2","-0.84","0.3","-0.96","2.3","-0.86","5","-0.62","0","-1","120.3","-0.36","394.6","0.23",289.7,-0.09,212.1,0.26,79.8,0.02,"2.5","-0.83","0.6","-0.95",205.607,770377,221.12,63,2017,20,227.94,195.72,34698.3,0.0577783627270334
"2","Adilabad","Telangana",2018,308,6861,1497,6022,8.91,79.99,212.27,212.27,504.53,3999.74,0.7445,0.2552,3e-04,0.0552,0.0751,0.5256,0.3441,0.0246,0.9443,0.0311,"0","-1","14.1","1.05","3.9","-0.74","39.1","1.92","60.1","1.9","286.4","0.51","370.7","0.14",543.6,0.72,128.2,-0.24,0,-1,"0","-1","13.2","0.52",199.733,446319,193.75,63,2017,20,227.94,195.72,34698.3,0.0390892340089497
"3","Agar Malwa","Madhya Pradesh",2020,239,56222,62355,9679,142.25,1365.58,3072.59,3072.59,7510.76,68279.18,0.8714,0.1276,0.001,0.068,0.0124,0.6776,0.242,0.1597,0.5222,0.3181,"16.3","1.51","0","-1","11.3","1.58","0","-1","0","-1","242.7","1.66","188.6","-0.3",467.4,0.57,82.8,-0.46,2.6,-0.89,"0","-1","14.3","0.45",182.974,100813.67,6.56,2058,2017,6,319.13,536.5,18514,0.445743114091436
"4","Agar Malwa","Madhya Pradesh",2019,240,49490,64931,14,140.28,1009.88,2524.45,2524.45,6058.78,50493.99,0.8829,0.1159,0.0012,0.0678,0.0131,0.6711,0.248,0.1505,0.5026,0.3469,"0","-1","0","-1","0","-1","12","6.06","0","-1","69.6","-0.24","314.4","0.17",688.4,1.31,782.6,4.09,60.2,1.48,"2","-0.81","0","-1",179.586,124503,5.41,2058,2017,6,319.13,536.5,18514,0.439570081158149
"5","Agar Malwa","Madhya Pradesh",2018,239,51184,53526,70,135.97,1305.11,5871.37,5871.37,13047.85,65255.52,0.8779,0.1206,0.0015,0.0836,0.0138,0.6013,0.3013,0.2432,0.4239,0.3329,"0","-1","0","-1","0","-1","0","-1","0","-1","115.6","0.21","388.5","0.3",154.4,-0.51,161.5,-0.01,0,-1,"0","-1","0","-1",184.012,148316,8.65,2058,2017,6,319.13,536.5,18514,0.426064613167048
"6","Agar Malwa","Madhya Pradesh",2021,239,59169,88831,218,168.96,1622.04,5271.64,5271.64,12165.32,81102.03,0.8866,0.1125,9e-04,0.0583,0.0107,0.677,0.254,0.1702,0.5125,0.3173,"3.1","-0.53","0","-1","0","-1","0","-1","50.1","7.5","85.4","-0.07","401.9","0.49",348.3,0.17,388.6,1.53,72.1,1.97,"0","-1","1.8","-0.82",181.719,115960,6.59,2058,2017,6,319.13,536.5,18514,0.529439413405195
"7","Agra","Uttar Pradesh",2020,504,9886,10581,117,7.56,72.06,111.57,111.57,295.2,3602.84,0.9109,0.0886,5e-04,0.0344,0.0068,0.4081,0.5507,0.2472,0.6194,0.1334,"20.1","1.01","0.1","-0.99","24.9","3.52","7.2","0.63","32.4","2.08","42.6","-0.21","90.5","-0.54",175.5,-0.23,13.3,-0.88,0,-1,"12.5","1.55","0","-1",125.234,303492.82,29.66,196,2017,12,388.27,999.14,28959,0.0194709866845237
"8","Agra","Uttar Pradesh",2019,608,20911,22967,69,20.95,97.1,69.63,69.63,236.36,4854.92,0.9243,0.0753,4e-04,0.0367,0.0053,0.3772,0.5808,0.3114,0.6037,0.0849,"14.6","0.46","17.1","0.55","4.2","-0.23","11.4","1.59","2.3","-0.78","16.2","-0.7","206.6","0.05",159.4,-0.3,113.3,0.02,11.7,-0.39,"16.9","2.44","12.6","1.79",127.721,325894.1,93.5,196,2017,12,388.27,999.14,28959,0.0539572977567157
"9","Agra","Uttar Pradesh",2018,653,33644,35550,51,32.82,186,93.64,93.64,373.28,9300.1,0.9113,0.0882,5e-04,0.0688,0.0033,0.2809,0.647,0.2847,0.6739,0.0414,"1","-0.94","1.3","-0.87","0","-1","52.9","12.22","20.2","1.17","43.7","-0.19","360.6","0.59",187.5,-0.33,137.7,0.1,1.8,-0.94,"0.1","-0.98","1.5","-0.69",123.499,288769,79.84,196,2017,12,388.27,999.14,28959,0.0845288072732892
"10","Ahmedabad","Gujarat",2019,1,1,1,1,0,0,0,0,0,0.05,1,0,0,0,0,0,1,0.5,0.5,0,"0","-1","0","-1","0","-1","0.7","-0.14","0","-1","72.6","-0.31","83.1","-0.66",353.5,0.57,216.6,0.8,47.9,2.66,"3.9","-0.43","0","-1",303.365,553918,18.9,121,2017,3,527.98,875.94,22587,0
"11","Ajmer","Rajasthan",2021,540,89239,544466,1100,108.16,860.32,3749.18,3749.18,8358.68,38132.96,0.8675,0.1314,0.0011,0.0849,0.0433,0.7647,0.1071,0.1536,0.6527,0.1937,"12.5","3.64","0","-1","1.6","-0.34","0","-1","94.9","8.21","43.5","-0.05","104","-0.37",150.7,0,159.9,1.68,15.6,1.36,"3.5","-0.12","0.9","-0.54",410.905,355188.35,13.63,139,2017,10,705.68,642.49,25693,0.153270604239882
"12","Ajmer","Rajasthan",2018,504,53767,110117,30,99.21,1081.29,3576.45,3576.45,8234.19,42750.89,0.869,0.1301,9e-04,0.1147,0.0381,0.7113,0.1359,0.1245,0.6102,0.2653,"0","-1","0","-1","0","-1","0.3","-0.88","1.9","-0.79","52","0.19","147.8","-0.14",94.1,-0.39,127.1,1.12,0.1,-0.99,"0","-1","0.2","-0.88",402.08,408906,16.51,139,2017,10,705.68,642.49,25693,0.140587801836526
"13","Ajmer","Rajasthan",2019,518,65087,132358,64,115.15,1223.37,4205.15,4205.15,9633.67,48960.95,0.8666,0.1323,0.0011,0.1071,0.0362,0.7267,0.13,0.1229,0.6186,0.2585,"9.7","2.61","0.2","-0.93","0.1","-0.96","11.5","2.29","4.1","-0.6","31.2","-0.32","310.6","0.9",346.2,1.3,75.7,0.27,12.1,0.83,"3.6","-0.09","6.8","2.56",405.211,342452,14.31,139,2017,10,705.68,642.49,25693,0.163175943770548
"14","Ajmer","Rajasthan",2020,540,74807,134638,374,108.11,751.91,3327.35,3327.35,7406.61,33514.39,0.8659,0.1328,0.0013,0.0989,0.0369,0.7479,0.1163,0.1419,0.6423,0.2158,"0","-1","0","-1","13.1","4.46","6.9","0.98","27.4","1.66","42.1","-0.08","108.8","-0.34",228.8,0.52,61.1,0.02,1.6,-0.77,"3.6","-0.11","0","-1",418.857,462599,17.62,139,2017,10,705.68,642.49,25693,0.153199750595171
"15","Akola","Maharashtra",2019,52,113565,87883,180918,204.56,1726.14,5645.26,5645.26,13016.66,71619.27,0.815,0.1846,4e-04,0.2182,0.0142,0.4957,0.2719,0.1166,0.7939,0.0895,"0","-1","0.2","-0.95","0","-1","0.6","-0.74","0","-1","104","-0.24","253.5","0.14",189.9,-0.12,272.6,1.31,65.7,0.22,"24","0.36","1.3","-0.81",459.494,707271,10.89,114,2017,7,583.02,388.43,17412,0.35086274913382
"16","Akola","Maharashtra",2018,51,101857,75093,145347,183.42,1570.98,5866.74,5866.74,13304.46,61481.87,0.797,0.2024,6e-04,0.0527,0.0102,0.4451,0.492,0.2367,0.6291,0.1342,"0","-1","7.8","0.47","0.6","-0.94","1.1","-0.75","0","-0.99","218.1","0.53","242.8","0.07",189.4,-0.07,53.6,-0.58,0,-1,"5.8","-0.65","0","-1",508.0711,794946.9,8.64,114,2017,7,583.02,388.43,17412,0.314603272615005
"17","Akola","Maharashtra",2021,52,128145,96141,187203,220.53,1715.09,5945.7,5945.7,13606.49,79261.83,0.8184,0.1813,3e-04,0.236,0.0135,0.4765,0.274,0.1076,0.8095,0.0829,"4.3","-0.44","0","-1","3.2","-0.65","0","-1","2.7","-0.64","67","-0.51","280.3","0.26",134.4,-0.38,241.7,1.05,70.1,0.3,"1.6","-0.91","4.1","-0.4",489.87264,727092.44,10.96,114,2017,7,583.02,388.43,17412,0.378254605330863
"18","Akola","Maharashtra",2020,52,115575,55612,156060,172.17,1486.24,4822.87,4822.87,11131.98,66363.99,0.8082,0.1914,4e-04,0.1758,0.0172,0.5184,0.2886,0.1278,0.7844,0.0878,"0.5","-0.94","0","-1","2.8","-0.7","0","-1","0.5","-0.93","94.6","-0.31","194.3","-0.13",136.5,-0.37,79.1,-0.33,36.5,-0.32,"1","-0.95","0.2","-0.96",473.86131,662659.06,10.72,114,2017,7,583.02,388.43,17412,0.295307193578265
"19","Aligarh","Uttar Pradesh",2019,842,27428,32307,532,22.58,243.42,0.01,0.01,243.44,12171.26,0.8914,0.1082,4e-04,0.0294,0.0023,0.3323,0.636,0.4382,0.5016,0.0602,"13.2","0.45","15.3","0.12","13.6","1.35","12","1.11","7.7","-0.49","6.3","-0.88","99.7","-0.52",166.6,-0.29,99.8,-0.18,0.8,-0.96,"1.2","-0.54","17.4","1.99",208.607,1192285.88,106.5,194,2017,12,487.69,1564.55,31930,0.0462999036273042
"20","Aligarh","Uttar Pradesh",2018,844,44268,47391,192,39.91,389.44,283.44,283.44,956.32,19472.08,0.8974,0.1023,3e-04,0.0275,0.0013,0.2575,0.7137,0.3976,0.5342,0.0682,"2.6","-0.87","4.3","-0.66","4","-0.57","18","2.21","12.6","-0.32","24.2","-0.49","344.5","0.62",124.5,-0.52,115.7,-0.13,0,-1,"2.5","-0.4","0.6","-0.91",214.076,1140253,103.9,194,2017,12,487.69,1564.55,31930,0.0818347720888269
"21","Aligarh","Uttar Pradesh",2020,780,14639,15766,53,11.96,160.15,124.58,124.58,409.31,8007.66,0.8867,0.1132,1e-04,0.0241,0.0021,0.2289,0.7449,0.5528,0.3854,0.0618,"23.6","1.6","8.3","-0.39","111.3","18.2","6.9","0.2","19.3","0.3","16.1","-0.69","104.4","-0.49",227.5,-0.03,5.7,-0.95,0,-1,"9.2","2.68","0","-1",205.246,677045.82,109.28,194,2017,12,487.69,1564.55,31930,0.0245237753490947
"22","Alirajpur","Madhya Pradesh",2020,217,16663,36430,1344,14.96,95.54,217.24,217.24,530.02,4116.9,0.9358,0.0642,0,0.003,0.9785,0.0076,0.0109,0.0235,0.95,0.0265,"0","-1","0","-1","4.5","2.72","0","-1","0","-1","161.4","0.37","150","-0.42",437.4,0.71,189.9,0.26,12.2,-0.4,"0","-1","22.9","3.78",167.824,133046,10.4,2006,2017,6,242.49,350.12,20471,0.0616932657016784
"23","Alirajpur","Madhya Pradesh",2018,219,29703,67851,3804,31.95,197.98,158.79,158.79,515.56,9178.08,0.9456,0.054,4e-04,0.0037,0.9851,0.0059,0.0053,0.0267,0.9086,0.0647,"0","-1","0","-1","0","-1","0","-1","0","-1","82.9","-0.27","230.8","-0.15",296.8,0.15,77.7,-0.51,0,-1,"0","-1","0","-1",123.753,133352.51,14.15,2006,2017,6,242.49,350.12,20471,0.131758010639614
"24","Alirajpur","Madhya Pradesh",2019,213,21839,48307,2787,24.03,116.16,302.37,302.37,720.9,5016.95,0.9441,0.0557,2e-04,0.0037,0.979,0.0062,0.0111,0.0408,0.9216,0.0376,"0","-1","0","-1","0","-1","2.9","1.64","0","-1","84","-0.29","338.1","0.3",686.4,1.69,286,0.89,83.4,3.07,"40.1","2.68","0","-1",168.695,133980,10.48,2006,2017,6,242.49,350.12,20471,0.0990968699740195
"25","Alirajpur","Madhya Pradesh",2021,232,19048,48587,726,17.28,113.22,251.22,251.22,615.66,4856.94,0.9354,0.0644,2e-04,0.0043,0.9797,0.0081,0.0079,0.023,0.957,0.02,"8.3","1.69","0","-1","3.8","2.19","1.1","-0.05","16.5","1.36","95.9","-0.18","391.6","0.51",121.5,-0.52,352.2,1.33,53.3,1.6,"16.8","0.54","31.3","5.52",167.732,300378.05,17.05,2006,2017,6,242.49,350.12,20471,0.0712606705431152
"26","Allahabad","Uttar Pradesh",2019,1497,39700,46286,373,34.25,308.59,460.61,460.61,1229.81,15429.65,0.913,0.0863,7e-04,0.0697,0.0041,0.5279,0.3983,0.481,0.429,0.09,"10.5","-0.34","7","-0.52","2.2","-0.68","1.7","-0.68","0.9","-0.92","17.2","-0.81","306.8","0.16",279.5,0.08,385.8,1.07,68,1.18,"0","-1","19.2","2.44",204.699,594889,106.31,210,2017,12,471.24,1341.37,23430,0.0726805873864697
"27","Allahabad","Uttar Pradesh",2018,1442,47336,54170,490,45.31,488.3,243.73,243.73,975.76,24414.89,0.9165,0.0829,6e-04,0.0711,0.007,0.532,0.3899,0.412,0.4155,0.1725,"0","-1","6.6","-0.34","0","-1","15.4","3.29","27.4","3.16","24.3","-0.7","244.1","-0.08",292.9,0.05,89.5,-0.51,0,-1,"0.2","-0.98","0","-1",198.054,557948,61.77,210,2017,12,471.24,1341.37,23430,0.0961505814446991
"28","Allahabad","Uttar Pradesh",2020,1456,33699,35202,453,29.07,436.92,739.75,739.75,1916.42,21845.86,0.9044,0.095,6e-04,0.0669,0.0058,0.5334,0.3939,0.4908,0.4182,0.091,"16.5","0.03","5.4","-0.63","34.8","3.97","21.9","3.22","35.6","2.36","147","0.61","228.5","-0.13",223,-0.13,135.2,-0.27,0,-1,"2.5","-0.65","5.4","-0.03",205.09,552002,26.09,210,2017,12,471.24,1341.37,23430,0.0616883116883117
"29","Alwar","Rajasthan",2018,534,89316,153892,12,106.2,1072.94,392.17,392.17,1857.28,40276.06,0.9134,0.0857,9e-04,0.0499,0.0832,0.6573,0.2096,0.2705,0.6379,0.0916,"0.7","-0.93","0","-1","2.3","-0.59","23.1","3.19","12.1","-0.24","107.9","1.44","162","-0.18",139,-0.35,109.3,0.08,5.9,-0.71,"1.6","-0.61","0.6","-0.87",367.322,736744,15.77,140,2017,10,879.28,1975.61,27909,0.120780638704395
"30","Alwar","Rajasthan",2021,533,91222,496416,66,63.03,561.65,543.7,543.7,1649.05,23597.56,0.9284,0.071,6e-04,0.0513,0.1045,0.6396,0.2046,0.3013,0.5906,0.1081,"18","1.3","0.9","-0.92","4.3","-0.25","1.3","-0.79","68.5","2.33","25.2","-0.58","275.8","0.43",152.1,-0.25,178.4,0.82,21.3,0.56,"0","-1","2.2","-0.57",365.397,878372.8,15.24,140,2017,10,879.28,1975.61,27909,0.0716836502593031
"31","Alwar","Rajasthan",2019,527,108712,202086,4091,137.45,1229.53,926.36,926.36,3082.25,43956.37,0.9167,0.0825,8e-04,0.0491,0.0833,0.6528,0.2148,0.2556,0.656,0.0884,"15.7","1.02","1.8","-0.84","4.7","-0.17","26.2","3.16","9.1","-0.56","34.7","-0.43","152.9","-0.21",137.5,-0.32,51.3,-0.48,19.8,0.44,"3.6","-0.14","4.6","-0.11",380.173,816805,14.94,140,2017,10,879.28,1975.61,27909,0.15632108088436
"32","Alwar","Rajasthan",2020,534,114945,194621,19,100.15,854.44,930.03,930.03,2714.5,38568.7,0.9139,0.0853,8e-04,0.0484,0.0755,0.6679,0.2082,0.2528,0.6579,0.0893,"1.9","-0.76","1.1","-0.91","77","12.5","9.2","0.47","24.5","0.19","60.7","0.01","87.2","-0.55",198.6,-0.02,51.3,-0.48,0,-1,"3","-0.29","0","-1",401.605,1015037,18.28,140,2017,10,879.28,1975.61,27909,0.113900009098353
"33","Ambala","Haryana",2018,481,21301,23126,45,31.38,461.22,116.34,115.63,693.19,23060.88,0.9275,0.0719,6e-04,0.0233,0.0019,0.3515,0.6233,0.1275,0.6725,0.2,"4.6","-0.88","21.1","-0.33","0.7","-0.97","7.1","-0.08","20.5","0","135.8","0.29","246.5","-0.2",252.2,-0.23,210.6,0.19,29.9,-0.13,"1.8","-0.8","10.3","-0.51",89.863,291036,19.25,183,2017,4,178,747.1,12463,0.176292134831461
"34","Ambala","Haryana",2020,486,12262,13744,1094,17.45,289.83,240.76,232.96,763.55,14491.03,0.9258,0.0739,3e-04,0.0107,2e-04,0.1442,0.8449,0.1634,0.6603,0.1763,"56.5","1.04","2.1","-0.95","87.7","2.17","35.1","2.02","69.6","1.31","69.2","-0.35","161.3","-0.47",298.3,0.08,18.3,-0.89,0,-1,"11.7","0.96","12.3","-0.46",131.177,480194,13.15,183,2017,4,178,747.1,12463,0.0980337078651685
"35","Ambala","Haryana",2019,486,22532,23369,4136,34.96,481.74,227.17,196.06,904.97,25616.74,0.9294,0.0701,5e-04,0.0137,3e-04,0.1395,0.8465,0.168,0.7004,0.1316,"20.6","-0.26","56","0.43","16.8","-0.39","44.2","2.81","11.9","-0.61","22.6","-0.79","267.6","-0.12",261.1,-0.06,76.9,-0.53,0,-1,"23.8","2.97","16.9","-0.26",95.552,378385,29.92,183,2017,4,178,747.1,12463,0.196404494382022
"36","Ambedkar Nagar","Uttar Pradesh",2020,899,18189,19085,179,11.67,181.26,171.75,171.75,524.76,9063.15,0.9293,0.0705,2e-04,0.0773,0.0015,0.5268,0.3944,0.63,0.3329,0.0371,"13","0.08","17","0.32","31","5.08","13.2","1.13","50","0.83","572","4.4","405","0.37",100,-0.62,253,0.31,0,-1,"18","7.18","0","-1",152.882,2857225,99.81,1028,2017,12,269.85,971.38,26690,0.0432462479155086
"37","Ambedkar Nagar","Uttar Pradesh",2019,924,28126,30721,178,19.7,197,102.44,102.44,401.88,9849.81,0.929,0.0705,5e-04,0.0702,0.0016,0.5389,0.3893,0.5823,0.3935,0.0242,"17","0.42","4","-0.69","0","-1","0","-1","0","-1","34","-0.68","653","1.2",169,-0.36,387.4,1.01,0,-1,"0","-1","13","1.32",129.483,1199420,97.85,1028,2017,12,269.85,971.38,26690,0.0730035204743376
"38","Ambedkar Nagar","Uttar Pradesh",2018,926,39689,41596,150,27.91,319.65,127.86,127.86,575.37,15982.69,0.9317,0.068,3e-04,0.0979,0.0034,0.5267,0.372,0.6119,0.3408,0.0473,"0","-1","0","-1","0","-1","1.4","-0.77","0","-1","1","-0.99","359.6","0.13",341,0.21,204,0.01,0,-1,"0","-1","0","-1",134.875,1277975,98.42,1028,2017,12,269.85,971.38,26690,0.103427830276079
"39","Anuppur","Madhya Pradesh",2019,275,5687,6687,74,12.43,41.76,292.05,292.05,625.86,2087.87,0.8761,0.1234,5e-04,0.0596,0.3807,0.3899,0.1698,0.2307,0.5501,0.2192,"27.5","0","16.5","-0.29","42.6","2","8.6","-0.09","8.9","-0.53","123","-0.33","324.6","-0.1",447.2,0.29,447.6,1.16,20.1,-0.56,"0","-1","9.2","-0.44",155.673,288574.66,12.28,1071,2017,6,209.04,307.65,17648,0.0594623038652889
"40","Anuppur","Madhya Pradesh",2021,273,6951,8151,2,14.55,71.88,341.42,341.42,754.72,3593.99,0.8821,0.1176,3e-04,0.0765,0.3266,0.3905,0.2064,0.3055,0.5047,0.1898,"3.5","-0.87","38.9","0.68","2.2","-0.85","5.6","-0.41","84.1","3.43","217.8","0.18","345.3","-0.05",300.4,-0.13,282.9,0.37,24.4,-0.46,"0","-1","24.1","0.48",156.563,230309.66,10.82,1071,2017,6,209.04,307.65,17648,0.0696039035591274
"41","Anuppur","Madhya Pradesh",2018,272,9089,9506,27,20.38,85.61,318.15,318.15,721.91,4280.34,0.8793,0.1206,1e-04,0.0624,0.3648,0.4149,0.1579,0.2447,0.5479,0.2074,"0","-1","10.3","-0.58","0","-1","27.2","0.85","22.8","0.15","134.6","-0.24","306","-0.21",283.8,-0.27,119.4,-0.47,0,-1,"0","-1","23.1","0.52",129.604,161117,10.15,1071,2017,6,209.04,307.65,17648,0.0974933027171833
"42","Anuppur","Madhya Pradesh",2020,266,5313,5953,17,11.21,50.18,263.35,263.35,576.88,2509.24,0.8762,0.1233,5e-04,0.064,0.3229,0.4302,0.1829,0.3017,0.525,0.1733,"48.7","0.76","39.9","0.72","92.1","5.48","28.1","1.96","24.6","0.29","247.5","0.34","286.7","-0.21",466.5,0.35,177.3,-0.14,74.5,0.64,"3.7","-0.66","1.6","-0.9",150.289,284825.67,9.31,1071,2017,6,209.04,307.65,17648,0.0536261002678913
"43","Ariyalur","Tamil Nadu",2019,136,1841,2002,2830,2.2,32.84,39.42,39.42,111.68,1607.28,0.8272,0.1712,0.0016,0.0087,2e-04,0.4673,0.5238,0.1639,0.6978,0.1383,"0","-1","0","-1","0","-1","0","-1","0.1","-0.99","5.2","-0.9","109.1","0.64",156.6,0.25,317,1.39,170.1,-0.09,"181.9","-0.21","171.5","0.07",28.809,138555,37.06,1077,2017,11,73.09,317.84,39515,0.0300998768641401
"44","Ariyalur","Tamil Nadu",2020,147,3148,1007,10994,2.42,27.06,42.01,41.8,110.87,1332.1,0.7616,0.2384,0,0.0435,1e-04,0.6667,0.2897,0.2006,0.7649,0.0345,"24.2","0.2","0","-1","0","-1","13.6","-0.31","17.5","-0.75","72.9","0.39","206.7","2.11",91.9,-0.27,100.8,-0.24,77.5,-0.59,"149","-0.35","309.9","0.93",29.632,84271,32.36,1077,2017,11,73.09,317.84,39515,0.0331098645505541
"45","Ariyalur","Tamil Nadu",2021,10,534,84,2177,0.53,6.13,47.81,36.18,90.12,261.65,0.7921,0.2079,0,0.0451,0,0.7165,0.2384,0.0469,0.9345,0.0186,"216.1","9.75","4.6","-0.5","0","-1","16","-0.19","43.2","-0.38","117.9","1.25","84.1","0.26",81.4,-0.35,149.9,0.13,305.3,0.63,"555.1","1.41","72.7","-0.55",30.069,125428,34.54,1077,2017,11,73.09,317.84,39515,0.00725133397181557
"46","Ariyalur","Tamil Nadu",2018,152,1472,1273,729,1.71,27.75,47.38,47.38,122.51,1163.21,0.8536,0.1464,0,0.011,0.001,0.4565,0.5315,0.3397,0.482,0.1783,"25.8","0.22","0","-1","4.5","-0.65","1.2","-0.95","46.5","-0.3","96.5","0.87","25","-0.66",74.3,-0.43,22.6,-0.84,200.2,0.04,"297.9","0.45","20.2","-0.86",18.524,65473,34.36,1077,2017,11,73.09,317.84,39515,0.0233958133807634
"47","Ashoknagar","Madhya Pradesh",2020,320,24302,52217,846,80.73,529.72,1066.09,1066.09,2661.9,26486.09,0.9474,0.0518,8e-04,0.0766,0.0138,0.5592,0.3504,0.1448,0.3049,0.5503,"16.8","1.79","4","-0.41","4.3","0.06","0","-1","29.3","12.93","182.3","1.2","218.3","-0.3",484.5,0.62,55,-0.65,0.5,-0.98,"4.8","-0.31","1.3","-0.89",312.497,167546.33,11.9,1081,2017,6,527.5,827.44,19395,0.153042654028436
"48","Ashoknagar","Madhya Pradesh",2019,314,25387,58714,9,96.27,473.21,1183.04,1183.04,2839.29,23660.78,0.942,0.0566,0.0014,0.0844,0.0127,0.5101,0.3928,0.1463,0.3327,0.521,"0","-1","15.8","1.32","0.8","-0.81","10","15.67","0","-1","38.5","-0.53","345.8","0.11",566,0.89,416.3,1.61,58.8,1.76,"4.3","-0.38","0.5","-0.96",306.346,382032.33,14.52,1081,2017,6,527.5,827.44,19395,0.182502369668246
"49","Ashoknagar","Madhya Pradesh",2018,318,33823,37787,71,119.57,761.61,804.22,804.22,2370.05,38080.55,0.9361,0.0623,0.0016,0.1093,0.0138,0.5577,0.3192,0.2308,0.3514,0.4178,"0","-1","0","-1","4","0.33","7.3","9.36","0","-1","61.5","-0.14","285","-0.1",270.8,-0.14,266,0.62,0,-1,"0","-1","0","-1",305.326,331989.33,15.73,1081,2017,6,527.5,827.44,19395,0.226672985781991
"50","Ashoknagar","Madhya Pradesh",2021,327,31223,78898,715,111.14,754.02,4335.59,4335.59,9425.2,37700.76,0.9459,0.0527,0.0014,0.0843,0.0146,0.5672,0.3339,0.1572,0.3285,0.5143,"2.3","-0.63","0","-1","4.8","0.19","6.8","10.25","64","29.48","129.8","0.57","275.8","-0.11",536,0.79,240.8,0.51,37.3,0.75,"0","-1","6.8","-0.42",308.185,295082,13.03,1081,2017,6,527.5,827.44,19395,0.210691943127962
"51","Auraiya","Uttar Pradesh",2018,464,22924,23645,68,20.7,210.58,145.61,145.61,501.8,10528.97,0.9301,0.0697,2e-04,0.0302,0.0016,0.2375,0.7307,0.1849,0.7345,0.0806,"2","-0.85","3","-0.82","0","-1","7","1.19","5","-0.54","23.5","-0.61","231.5","0.02",134.8,-0.5,160.3,0.11,0,-1,"0","-1","0","-1",95.756,314128,92.23,1031,2017,12,230.13,694.54,33956,0.0899491591709034
"52","Auraiya","Uttar Pradesh",2020,448,14425,15376,79,8.62,128.24,90.96,90.96,310.16,6411.9,0.9251,0.0746,3e-04,0.0308,0.0015,0.2084,0.7593,0.195,0.7059,0.0991,"31","5.2","0","-1","26","4.65","5","1.63","13","0.37","96.9","0.89","121","-0.38",128.2,-0.4,9.5,-0.92,0,-1,"7","1","0","-1",83.791,257853,29.31,1031,2017,12,230.13,694.54,33956,0.0374570894711685
"53","Auraiya","Uttar Pradesh",2019,465,15943,18315,14,17.37,131.4,29.3,29.3,190,6569.93,0.9301,0.0696,3e-04,0.0367,0.0023,0.2791,0.6819,0.2461,0.635,0.1189,"1","-0.8","6","-0.63","3","-0.35","3","0.58","0","-1","58.4","0.14","97.8","-0.5",178.7,-0.16,153.5,0.27,16.4,-0.31,"2","-0.43","4","-0.17",95.463,317726,91.58,1031,2017,12,230.13,694.54,33956,0.0754790770434103
"54","Azamgarh","Uttar Pradesh",2018,1479,23077,24814,714,15.65,146.24,142.58,142.58,431.4,7311.87,0.9138,0.0853,9e-04,0.1035,0.0032,0.3889,0.5044,0.5238,0.42,0.0562,"0","-1","1.4","-0.86","0","-1","38.7","5.34","39.6","1.55","43.3","-0.55","170.6","-0.49",216.3,-0.26,77.3,-0.67,0,-1,"0","-1","0","-1",247.555,1734084,88.05,224,2017,12,499.25,1466.07,28211,0.0313470205307962
"55","Azamgarh","Uttar Pradesh",2020,1388,9418,9819,33,6.25,77.88,85.09,85.09,248.06,3894.12,0.9177,0.0818,5e-04,0.067,0.0033,0.4602,0.4695,0.5393,0.4305,0.0302,"3.8","-0.6","10.7","0.04","41.8","5.85","5.9","-0.02","23.7","0.12","186.8","0.93","239.8","-0.25",162.3,-0.4,248.3,0.25,5.5,-0.85,"0","-1","0","-1",239.794,1346197,89.26,224,2017,12,499.25,1466.07,28211,0.0125187781672509
"56","Azamgarh","Uttar Pradesh",2019,1475,15295,16578,265,10.88,90.35,90.35,90.35,271.05,4517.53,0.9135,0.0861,4e-04,0.0837,0.0034,0.4456,0.4673,0.5924,0.372,0.0356,"5.3","-0.45","18.6","0.81","3.1","-0.49","0","-1","0","-1","27.5","-0.71","265.6","-0.17",88.7,-0.67,478.5,1.4,13.6,-0.62,"0","-1","7.7","1.33",251.813,2007804,87.68,224,2017,12,499.25,1466.07,28211,0.0217926890335503
"57","Bageshwar","Uttarakhand",2019,7,3702,3252,796,1.36,5.58,0,0,5.58,557.55,0.9701,0.0296,3e-04,0.2404,0.0242,0.0272,0.7082,0.0951,0.9022,0.0027,"58.3","0.52","120","1.34","20.2","-0.55","41.7","0.36","14.2","-0.72","84","-0.45","246.2","-0.1",523.5,0.99,350.8,1.28,29.2,0.26,"11.8","0.91","57.5","1.92",21.276,33340,21.07,1032,2017,16,42.25,55.99,9031,0.032189349112426
