"","district","state","year.x","ins.units","farmers","loanee","nonloanee","area.ins","farmers.premium","state.premium","goi.premium","gross.premium","sum.insured","male.pt","female.pt","othergen.pt","sc.pt","st.pt","obc.pt","gen.pt","marginal.pt","small.pt","othertype.pt","jan.rf","jan.ptdef","feb.rf","feb.ptdef","mar.rf","mar.ptdef","apr.rf","apr.ptdef","may.rf","may.ptdef","jun.rf","jun.ptdef","jul.rf","jul.ptdef","aug.rf","aug.ptdef","sep.rf","sep.ptdef","oct.rf","oct.ptdef","nov.rf","nov.ptdef","dec.rf","dec.ptdef","area","prod","yield","Dist Code","year.y","State Code","icr2017_area","icr2017_prod","icr2017_yield","f.it"
"233","Dakshin Dinajpur","West Bengal",2018,72,34229,32829,12092,35.18,0,384.69,0,384.69,19346.84,0.8931,0.1067,2e-04,0.2021,0.0622,0.0578,0.6779,0.1024,0.8651,0.0325,"0","-1","8","-0.4","9.4","-0.51","30.9","-0.47","138.8","-0.17","131","-0.55","230.8","-0.37",108.3,-0.56,103.2,-0.63,17.7,-0.84,"0","-1","7.8","0.4",22.837,344023,30.42,820,2017,13,442.65,810.51,20069,0.0794758838811702
"234","Dakshina Kannada","Karnataka",2019,201,841,769,72,0,0,0,0,0,0,0.7273,0.2727,0,0,0.0101,0.2929,0.697,0.3367,0.4694,0.1939,"0","-1","1.1","-0.52","0.3","-0.98","32.8","-0.34","44.4","-0.74","481.8","-0.5","952.6","-0.2",1399.2,0.61,680.2,1.05,500.1,0.95,"84.7","-0.15","34.6","1.39",10.303,29478,6.3,80,2017,5,120.94,91.32,4048,0
"235","Dakshina Kannada","Karnataka",2020,201,582,575,7,0,0,0,0,0,0,0.697,0.303,0,0,0,0.3878,0.6122,0.4848,0.3434,0.1718,"0","-1","2.2","-0.04","17.8","0.19","66.4","0.33","172.6","-0.01","705.1","-0.27","965.7","-0.19",952.6,0.1,821.7,1.47,369.3,0.44,"57.6","-0.42","26.1","0.8",6.917,20021,13.23,80,2017,5,120.94,91.32,4048,0
"236","Dakshina Kannada","Karnataka",2018,398,352,350,2,0,0,0,0,0,0,0.7879,0.2121,0,0,0.0306,0.2347,0.7347,0.2323,0.4848,0.2829,"0","-1","0","-0.96","32.7","4.11","85","1.14","474.5","1.62","1185.6","0.21","1170.2","-0.05",1096.2,0.31,81.9,-0.74,262.9,0.11,"43.6","-0.47","16.8","0.08",6.033,18049,13.93,80,2017,5,120.94,91.32,4048,0
"237","Damoh","Madhya Pradesh",2020,382,30852,37165,4433,79.61,403.1,1328.54,1328.54,3060.18,20154.89,0.8663,0.1324,0.0013,0.044,0.0386,0.7105,0.2069,0.1971,0.476,0.3269,"20","0.31","0","-1","14.5","0.99","5.5","0.17","10.4","0.82","155","0.21","142.3","-0.58",569.3,0.46,101.9,-0.46,0.1,-0.99,"2.6","-0.77","9.9","0.11",317.024,218829,11.12,14,2017,6,644,1076.88,22241,0.12361801242236
"238","Damoh","Madhya Pradesh",2018,388,43695,47525,13,111.83,544.54,1518.98,1518.98,3582.5,27227.04,0.8657,0.132,0.0023,0.0561,0.0445,0.6752,0.2242,0.2252,0.4816,0.2932,"0","-1","8.5","-0.48","0.5","-0.95","6.5","0.16","0","-1","66.5","-0.45","532.5","0.48",215.5,-0.46,157,-0.17,2,-0.94,"0","-1","0","-1",310.922,213201,12.56,14,2017,6,644,1076.88,22241,0.173649068322981
"239","Damoh","Madhya Pradesh",2021,446,39755,60654,82,106.35,499.02,2107.11,2107.11,4713.24,24950.8,0.8609,0.1381,0.001,0.0476,0.05,0.7014,0.201,0.2198,0.4572,0.323,"0.4","-0.97","13.3","-0.25","8.6","0.17","7","0.49","92.5","15.23","102","-0.2","213.6","-0.37",144.6,-0.63,184.6,-0.03,6.1,-0.76,"0","-1","10.6","0.19",310.819,285704.19,17.42,14,2017,6,644,1076.88,22241,0.165139751552795
"240","Damoh","Madhya Pradesh",2019,329,29084,41007,556,86.57,308.14,605.62,605.62,1519.38,15406.85,0.8777,0.1213,0.001,0.0508,0.0499,0.6958,0.2035,0.1801,0.4878,0.3321,"1.5","-0.9","2.5","-0.86","1","-0.86","4","-0.15","0.5","-0.91","56.5","-0.56","453","0.33",543,0.39,436.5,1.3,21.5,-0.15,"0","-1","13.5","0.52",310.798,184553,9.77,14,2017,6,644,1076.88,22241,0.134425465838509
"241","Darjeeling","West Bengal",2018,28,5004,1841,4041,2.52,0,33.73,6.24,39.97,1374.67,0.8689,0.1307,4e-04,0.2953,0.044,0.1738,0.4869,0.2076,0.7822,0.0102,"0.7","-0.99","6","-0.82","40.4","-0.3","79.9","-0.39","241.9","-0.08","408.2","-0.24","592.9","-0.22",558.7,-0.14,579.7,0.15,59.4,-0.5,"1.7","-0.9","11.3","0.14",3.806,35449,25.72,813,2017,13,100.89,98.52,26197,0.0249776984834969
"242","Darrang","Assam",2018,1,53,54,0,0.04,0.04,0,0,0.04,25.08,0.9815,0.0185,0,0,0,0.1667,0.8333,0.6852,0.2037,0.1111,"0","-1","18","-0.16","16","-0.7","170.3","0.01","94","-0.71",".",".","200","-0.42",190.6,-0.3,113,-0.49,4.5,-0.95,"47.5","1.76","17","0.83",11.058,96033,32.68,602,2017,17,126.71,218.44,19830,0.000315681477389314
