"","district","state","year","ins.units","farmers","loanee","nonloanee","area.ins","farmers.premium","state.premium","goi.premium","gross.premium","sum.insured","male.pt","female.pt","othergen.pt","sc.pt","st.pt","obc.pt","gen.pt","marginal.pt","small.pt","othertype.pt","jan.rf","jan.ptdef","feb.rf","feb.ptdef","mar.rf","mar.ptdef","apr.rf","apr.ptdef","may.rf","may.ptdef","jun.rf","jun.ptdef","jul.rf","jul.ptdef","aug.rf","aug.ptdef","sep.rf","sep.ptdef","oct.rf","oct.ptdef","nov.rf","nov.ptdef","dec.rf","dec.ptdef","area","prod","yield","area_max97","icr2017_area","icr2017_prod","icr2017_yield","jan.normal","feb.normal","mar.normal","apr.normal","may.normal","jun.normal","jul.normal","aug.normal","sep.normal","oct.normal","nov.normal","dec.normal","annual.normal","f.it","jan.rfdev","feb.rfdev","mar.rfdev","apr.rfdev","may.rfdev","jun.rfdev","jul.rfdev","aug.rfdev","sep.rfdev","oct.rfdev","nov.rfdev","dec.rfdev","cdsp.jan.mintemp","cdsp.jan.maxtemp","cdsp.feb.mintemp","cdsp.feb.maxtemp","cdsp.mar.mintemp","cdsp.mar.maxtemp","cdsp.apr.mintemp","cdsp.apr.maxtemp","cdsp.may.mintemp","cdsp.may.maxtemp","cdsp.jun.mintemp","cdsp.jun.maxtemp","cdsp.jul.mintemp","cdsp.jul.maxtemp","cdsp.aug.mintemp","cdsp.aug.maxtemp","cdsp.sep.mintemp","cdsp.sep.maxtemp","cdsp.oct.mintemp","cdsp.oct.maxtemp","cdsp.nov.mintemp","cdsp.nov.maxtemp","cdsp.dec.mintemp","cdsp.dec.maxtemp"
"92","Bikaner","Rajasthan",2018,351,73269,146505,169,332.65,2103.7,4911.87,4911.87,11927.44,105184.96,0.8481,0.1483,0.0036,0.1024,0.0052,0.6533,0.2391,0.0523,0.3183,0.6294,0,-1,0,-1,1e-04,-0.99,0.0028,-0.32,0.0039,-0.72,0.0727,1.49,0.1387,0.62,0.0456,-0.39,0.0021,-0.95,0,-1,0,-1,0,-1,757.122,701729,9.45,830.219,1925.26,1369.34,22055,0.006,0.007,0.006,0.005,0.008,0.027,0.087,0.105,0.045,0.006,0.003,0.002,0.307,0.172781858034759,-1,-1,-0.983333333333333,-0.44,-0.5125,1.69259259259259,0.594252873563218,-0.565714285714286,-0.953333333333333,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Bikaner","Rajasthan",2019,346,76958,162039,292,392.27,2223.47,7900.72,7900.72,18024.91,110193.52,0.8479,0.1491,0.003,0.0994,0.004,0.6429,0.2537,0.0687,0.3344,0.5969,0.0037,-0.16,0.0022,-0.79,0.001,-0.87,0.0107,0.49,0.0245,0.28,0.0149,-0.6,0.0512,-0.44,0.102,0.53,0.0332,-0.02,0.0166,1,0.0316,14.8,0.0086,2.19,758.695,690902,7.63,830.219,1925.26,1369.34,22055,0.006,0.007,0.006,0.005,0.008,0.027,0.087,0.105,0.045,0.006,0.003,0.002,0.307,0.20374910401712,-0.383333333333333,-0.685714285714286,-0.833333333333333,1.14,2.0625,-0.448148148148148,-0.411494252873563,-0.0285714285714286,-0.262222222222222,1.76666666666667,9.53333333333333,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7125,21.7625,22.95,31.15,15.675,25.5375,NA,NA,NA,NA
"94","Bilaspur","Chhattisgarh",2019,906,59474,70682,9381,95.18,728.53,1551.14,1551.14,3830.81,36426.42,0.8789,0.1204,7e-04,0.1877,0.1719,0.5358,0.1046,0.2517,0.5378,0.2105,0.0241,0.29,0.0152,-0.21,0.0339,0.6,0.0061,-0.61,0.0076,-0.58,0.0961,-0.47,0.3155,-0.1,0.3731,0.04,0.3357,0.71,0.0373,-0.22,0,-1,0.0106,-0.11,182.125,398772,22.68,351.372,244.36,270.12,12137,0.017,0.03,0.022,0.017,0.018,0.191,0.381,0.387,0.194,0.052,0.013,0.005,1.327,0.389507284334588,0.417647058823529,-0.493333333333333,0.540909090909091,-0.641176470588235,-0.577777777777778,-0.496858638743456,-0.171916010498688,-0.0359173126614986,0.730412371134021,-0.282692307692308,-1,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.45,15.2,23.5,30.3,22.3,30.6,NA,NA,NA,NA
"95","Birbhum","West Bengal",2018,166,82048,49392,43249,76.86,0,605.23,0,605.23,40349.01,0.8781,0.1214,5e-04,0.143,0.0172,0.1284,0.7114,0.2883,0.614,0.0977,0,-1,5e-04,-0.97,8e-04,-0.96,0.0515,0.67,0.0626,-0.2,0.1383,-0.38,0.2583,-0.18,0.1597,-0.47,0.17,-0.37,0.0374,-0.64,0,-1,0.0253,3.52,0.539,540,8.38,2.587,705.58,1566.82,29890,0.014,0.024,0.021,0.038,0.1,0.185,0.323,0.313,0.235,0.115,0.019,0.003,1.391,0.108931659060631,-1,-0.979166666666667,-0.961904761904762,0.355263157894737,-0.374,-0.252432432432432,-0.20030959752322,-0.489776357827476,-0.276595744680851,-0.674782608695652,-1,7.43333333333333,4.01111111111111,10.9777777777778,6.54444444444444,13.1444444444444,18.6555555555556,29.7611111111111,10.2,15.2,8.21111111111111,11.0222222222222,23.5722222222222,30.8277777777778,8.66666666666667,10.9,8.61111111111111,10.9666666666667,8.47777777777778,11.0444444444444,6.97777777777778,10.7888888888889,5.51111111111111,10.1222222222222,3.82222222222222,8.64444444444444
"96","Bokaro","Jharkhand",2018,199,48951,6269,51507,21.64,0,1036.87,787.67,1824.54,12459.78,0.7568,0.2412,0.002,0.0532,0.1287,0.716,0.1021,0.1963,0.7891,0.0146,0,-1,0.0026,-0.81,0,-1,0.0429,1.26,0.0244,-0.36,0.1211,-0.36,0.2101,-0.32,0.1644,-0.45,0.1107,-0.56,0.0191,-0.75,0,-1,0.0373,4.83,43.423,43163,9.67,57.958,68.31,129.48,12431,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.316791099399795,-1,-3.6,-1,-43.9,-25.4,-122.1,-211.1,-165.4,-111.7,-20.1,-1,-38.3,7.7,24.6,13.5,28.6,17.6,32.9,21,35.8,23.1,37,23.9,34.1,23.2,30,22.9,29.6,21.5,30.3,17.5,30.3,13.9,28.3,9.1,22.6
"97","Bokaro","Jharkhand",2019,207,50863,6164,51741,28.02,0.57,1177.33,826.17,2004.07,17586.35,0.7578,0.2409,0.0013,0.0535,0.1006,0.7674,0.0785,0.0752,0.9207,0.0041,1e-04,-0.99,0.0292,0.76,0.0169,-0.05,0.0217,0.04,0.0532,0.13,0.0859,-0.54,0.2025,-0.34,0.243,-0.17,0.3107,0.33,0.1632,0.82,0,-0.99,0.0143,1.35,35.515,78671,21.53,57.958,68.31,129.48,12431,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.410188844971454,-1.1,-30.2,-17.9,-22.7,-54.2,-86.9,-203.5,-244,-311.7,-164.2,-1,-15.3,4.45,11.9,6.4,13.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6,29.25,15.45,28.75,11.3,23.2
"98","Bongaigaon","Assam",2018,2,541,543,0,0.38,4.52,8.83,8.83,22.18,225.93,0.9466,0.0534,0,0.0239,0.0866,0.105,0.7845,0.547,0.1308,0.3222,0.001,-0.9,0.0133,-0.57,0.0972,0.69,0.1923,0.05,0.497,0.12,0.3814,-0.39,0.7609,-0.02,0.2736,-0.44,0.7461,0.84,0.0588,-0.65,0.016,-0.14,0.0258,1.22,6.223,36713,23.61,8.46,90.54,123.12,14557,0.01,0.02,0.047,0.268,0.399,0.621,0.752,0.403,0.379,0.145,0.014,0.004,3.061,0.00419703998232825,-0.9,-0.335,1.06808510638298,-0.282462686567164,0.245614035087719,-0.385829307568438,0.0118351063829787,-0.321091811414392,0.968601583113456,-0.59448275862069,0.142857142857143,5.45,11.4166666666667,24.0166666666667,14.2,26.0166666666667,17.2833333333333,29.15,20.2,30.2333333333333,22.1166666666667,30.7833333333333,24.9166666666667,32.45,25.7,33.0833333333333,25.65,33.3833333333333,24.9166666666667,32.4833333333333,21.2166666666667,30.2833333333333,15.9666666666667,27.55,12.3833333333333,25.3166666666667
"99","Bongaigaon","Assam",2019,3,8052,245,8111,6.32,2.54,297.89,225.31,525.74,3756.36,0.8752,0.1246,2e-04,0.0425,0.0154,0.1032,0.8389,0.5515,0.4229,0.0256,0,-1,0.0174,-0.4,0.0056,-0.91,0.0604,-0.71,0.4762,0.17,0.4573,-0.27,1.3217,0.72,0.3355,-0.34,0.3791,-0.05,0.0929,-0.44,0.0167,-0.03,0,-1,5.739,32231,23.95,8.46,90.54,123.12,14557,0.01,0.02,0.047,0.268,0.399,0.621,0.752,0.403,0.379,0.145,0.014,0.004,3.061,0.0698034018113541,-1,-0.13,-0.880851063829787,-0.774626865671642,0.193483709273183,-0.263607085346216,0.757579787234043,-0.167493796526055,0.000263852242744181,-0.359310344827586,0.192857142857143,-1,10.35,25.6333333333333,13.4166666666667,26.25,14,24.2833333333333,20.6,30.3333333333333,22.1666666666667,29.5333333333333,25.2333333333333,32.9833333333333,25.2666666666667,31.7333333333333,26.3166666666667,34.7666666666667,24.7833333333333,32.2333333333333,19.1833333333333,25.4,18.7166666666667,29.3166666666667,10.3166666666667,20.4166666666667
"100","Bongaigaon","Assam",2020,3,30327,217,58382,49.6,1.03,806.33,2123.11,2930.47,28573.08,0.6316,0.3677,7e-04,0.1463,0.0087,0.0943,0.7507,0.7553,0.2318,0.0129,0.0036,-0.64,0.0086,-0.71,0.0142,-0.77,0.043,-0.79,0.6072,0.49,0.6287,0,0.7833,0.02,0.2368,-0.54,0.7235,0.8,0.0988,-0.4,0.0348,1.02,0,-1,5.462,44954,36.82,8.46,90.54,123.12,14557,0.01,0.02,0.047,0.268,0.399,0.621,0.752,0.403,0.379,0.145,0.014,0.004,3.061,0.547824166114425,-0.64,-0.57,-0.697872340425532,-0.83955223880597,0.521804511278196,0.0123993558776168,0.0416223404255319,-0.412406947890819,0.908970976253298,-0.318620689655172,1.48571428571429,-1,11.5333333333333,23.4666666666667,8.45,17.2833333333333,17.5,30.0666666666667,19.45,30.8,22.25,30.5666666666667,8.16666666666667,10.7833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Bulandshahr","Uttar Pradesh",2018,863,68945,70575,30,48.17,525.57,130.49,130.49,786.55,26278.58,0.97,0.0299,1e-04,0.0077,0.0011,0.0876,0.9036,0.0826,0.9016,0.0158,0.002,-0.88,0.003,-0.77,0,-1,0,-1,0.0053,-0.62,0.0137,-0.74,0.2322,0.03,0.1089,-0.57,0.1012,-0.27,0,-1,0.002,-0.52,0,-1,210.74,5138380,115.09,485.411,425.91,1740.6,32613,0.019,0.019,0.012,0.01,0.015,0.069,0.211,0.207,0.14,0.033,0.003,0.006,0.745,0.113099011528257,-0.894736842105263,-0.842105263157895,-1,-1,-0.646666666666667,-0.801449275362319,0.100473933649289,-0.473913043478261,-0.277142857142857,-1,-0.333333333333333,-1,6.72777777777778,19.7944444444444,11.7777777777778,27.1333333333333,16.3722222222222,34.1722222222222,21.2777777777778,37.5666666666667,25.2333333333333,39.5833333333333,27.6777777777778,39.4833333333333,24.6666666666667,34.0166666666667,25.4777777777778,32.3555555555556,24.0444444444444,32.8055555555556,18.7833333333333,33.2444444444444,13.6833333333333,28.7333333333333,8.25555555555556,23.5277777777778
